timestamp,datetime,latitude,longitude
1771431084,2026-02-18 16:11:24,31.7780,164.2486
1771431096,2026-02-18 16:11:36,32.3075,164.8699
1771431112,2026-02-18 16:11:52,33.0079,165.7108
1771431114,2026-02-18 16:11:54,33.0949,165.8169
1771431122,2026-02-18 16:12:02,33.4639,166.2704
1771431128,2026-02-18 16:12:08,33.7016,166.5662
1771431131,2026-02-18 16:12:11,33.8525,166.7554
1771431135,2026-02-18 16:12:15,34.0030,166.9452
1771431137,2026-02-18 16:12:17,34.1103,167.0812
1771431140,2026-02-18 16:12:20,34.2174,167.2176
